mid,override,,,
8788290374055,9.99,,,
8788290375959,9.99,,,
8788290341608,10,,,
8788290341611,10,,,
8788290319402,10,,,
8788290356503,10,,,
8788290358510,10,,,
8788290359272,10,,,
8788290358764,10.95,,,
8788290264647,11,,,
8788290212885,11.95,,,
8788290213013,11.95,,,
8788290214067,11.95,,,
8788290214134,11.95,,,
8788290214193,11.95,,,
8788290214198,11.95,,,
8788290214201,11.95,,,
8788290214319,11.95,,,
8788290214535,11.95,,,
8788290214634,11.95,,,
8788290266714,11.95,,,
8788290252799,11.95,,,
8788290253230,11.95,,,
8788290253542,11.95,,,
8788290253544,11.95,,,
8788290253547,11.95,,,
8788290253552,11.95,,,
8788290254086,11.95,,,
8788290254638,11.95,,,
8788290254755,11.95,,,
8788290254760,11.95,,,
8788290316619,11.95,,,
8788290317056,11.95,,,
8788290317156,11.95,,,
8788290318107,11.95,,,
8788290318428,11.95,,,
8788290341648,11.95,,,
8788290341758,11.95,,,
8788290341781,11.95,,,
8788290341832,11.95,,,
8788290341895,11.95,,,
8788290342079,11.95,,,
8788290342119,11.95,,,
8788290342136,11.95,,,
8788290342235,11.95,,,
8788290342410,11.95,,,
8788290342434,11.95,,,
8788290342461,11.95,,,
8788290342462,11.95,,,
8788290342760,11.95,,,
8788290342991,11.95,,,
8788290343003,11.95,,,
8788290343008,11.95,,,
8788290343272,11.95,,,
8788290343318,11.95,,,
8788290343366,11.95,,,
8788290367284,11.95,,,
8788290367333,11.95,,,
8788290367457,11.95,,,
8788290367578,11.95,,,
8788290367607,11.95,,,
8788290367729,11.95,,,
8788290367750,11.95,,,
8788290367870,11.95,,,
8788290367872,11.95,,,
8788290368103,11.95,,,
8788290368138,11.95,,,
8788290368165,11.95,,,
8788290368317,11.95,,,
8788290368412,11.95,,,
8788290368419,11.95,,,
8788290368589,11.95,,,
8788290368659,11.95,,,
8788290368666,11.95,,,
8788290368772,11.95,,,
8788290252542,11.95,,,
8788290253817,11.95,,,
8788290254089,11.95,,,
8788290254164,11.95,,,
8788290254366,11.95,,,
8788290316507,11.95,,,
8788290316673,11.95,,,
8788290318366,11.95,,,
8788290318863,11.95,,,
8788290341703,11.95,,,
8788290342384,11.95,,,
8788290342474,11.95,,,
8788290342521,11.95,,,
8788290343011,11.95,,,
8788290343174,11.95,,,
8788290367340,11.95,,,
8788290367408,11.95,,,
8788290367439,11.95,,,
8788290367447,11.95,,,
8788290367643,11.95,,,
8788290367744,11.95,,,
8788290367780,11.95,,,
8788290367791,11.95,,,
8788290368078,11.95,,,
8788290368085,11.95,,,
8788290368191,11.95,,,
8788290368373,11.95,,,
8788290368400,11.95,,,
8788290368408,11.95,,,
8788290368426,11.95,,,
8788290368542,11.95,,,
8788290368586,11.95,,,
8788290368911,11.95,,,
8788290368933,11.95,,,
8788290368938,11.95,,,
8788290203840,11.95,,,
8788290204334,11.95,,,
8788290205079,11.95,,,
8788290205787,11.95,,,
8788290206113,11.95,,,
8788290256621,11.95,,,
8788290256955,11.95,,,
8788290257050,11.95,,,
8788290257256,11.95,,,
8788290257264,11.95,,,
8788290257338,11.95,,,
8788290257697,11.95,,,
8788290257905,11.95,,,
8788290257979,11.95,,,
8788290258150,11.95,,,
8788290258273,11.95,,,
8788290258642,11.95,,,
8788290258733,11.95,,,
8788290258746,11.95,,,
8788290259126,11.95,,,
8788290319442,11.95,,,
8788290320075,11.95,,,
8788290320286,11.95,,,
8788290320312,11.95,,,
8788290320461,11.95,,,
8788290320466,11.95,,,
8788290320779,11.95,,,
8788290322710,11.95,,,
8788290322770,11.95,,,
8788290322775,11.95,,,
8788290322832,11.95,,,
8788290323083,11.95,,,
8788290323128,11.95,,,
8788290343530,11.95,,,
8788290343598,11.95,,,
8788290343652,11.95,,,
8788290343692,11.95,,,
8788290343725,11.95,,,
8788290343808,11.95,,,
8788290344037,11.95,,,
8788290344183,11.95,,,
8788290344311,11.95,,,
8788290344313,11.95,,,
8788290344386,11.95,,,
8788290344449,11.95,,,
8788290344629,11.95,,,
8788290344944,11.95,,,
8788290345324,11.95,,,
8788290345366,11.95,,,
8788290345409,11.95,,,
8788290369195,11.95,,,
8788290369260,11.95,,,
8788290369300,11.95,,,
8788290369329,11.95,,,
8788290369546,11.95,,,
8788290369670,11.95,,,
8788290370002,11.95,,,
8788290370075,11.95,,,
8788290370157,11.95,,,
8788290370229,11.95,,,
8788290370280,11.95,,,
8788290370337,11.95,,,
8788290370338,11.95,,,
8788290370356,11.95,,,
8788290370642,11.95,,,
8788290370742,11.95,,,
8788290370844,11.95,,,
8788290371048,11.95,,,
8788290202306,11.95,,,
8788290203673,11.95,,,
8788290257730,11.95,,,
8788290343539,11.95,,,
8788290343546,11.95,,,
8788290343562,11.95,,,
8788290343865,11.95,,,
8788290344111,11.95,,,
8788290344296,11.95,,,
8788290344333,11.95,,,
8788290344420,11.95,,,
8788290344688,11.95,,,
8788290345479,11.95,,,
8788290369097,11.95,,,
8788290369178,11.95,,,
8788290369258,11.95,,,
8788290369266,11.95,,,
8788290369315,11.95,,,
8788290369485,11.95,,,
8788290369506,11.95,,,
8788290369688,11.95,,,
8788290369942,11.95,,,
8788290370050,11.95,,,
8788290370482,11.95,,,
8788290370821,11.95,,,
8788290370843,11.95,,,
8788290370922,11.95,,,
8788290370994,11.95,,,
8788290370999,11.95,,,
8788290206429,11.95,,,
8788290207167,11.95,,,
8788290207451,11.95,,,
8788290207639,11.95,,,
8788290207855,11.95,,,
8788290208013,11.95,,,
8788290209733,11.95,,,
8788290259629,11.95,,,
8788290259707,11.95,,,
8788290260565,11.95,,,
8788290260573,11.95,,,
8788290261050,11.95,,,
8788290261410,11.95,,,
8788290261577,11.95,,,
8788290262021,11.95,,,
8788290262123,11.95,,,
8788290262471,11.95,,,
8788290321479,11.95,,,
8788290321517,11.95,,,
8788290321680,11.95,,,
8788290321902,11.95,,,
8788290323132,11.95,,,
8788290323133,11.95,,,
8788290323202,11.95,,,
8788290345668,11.95,,,
8788290346143,11.95,,,
8788290346463,11.95,,,
8788290346716,11.95,,,
8788290346750,11.95,,,
8788290346851,11.95,,,
8788290346885,11.95,,,
8788290347015,11.95,,,
8788290347355,11.95,,,
8788290371097,11.95,,,
8788290371150,11.95,,,
8788290371286,11.95,,,
8788290371442,11.95,,,
8788290371513,11.95,,,
8788290372223,11.95,,,
8788290372258,11.95,,,
8788290372273,11.95,,,
8788290372284,11.95,,,
8788290372325,11.95,,,
8788290372500,11.95,,,
8788290372546,11.95,,,
8788290372720,11.95,,,
8788290372796,11.95,,,
8788290372905,11.95,,,
8788290372938,11.95,,,
8788290207114,11.95,,,
8788290262282,11.95,,,
8788290262437,11.95,,,
8788290262467,11.95,,,
8788290322124,11.95,,,
8788290322290,11.95,,,
8788290345617,11.95,,,
8788290345922,11.95,,,
8788290346024,11.95,,,
8788290347010,11.95,,,
8788290347247,11.95,,,
8788290371075,11.95,,,
8788290371095,11.95,,,
8788290371203,11.95,,,
8788290371404,11.95,,,
8788290371413,11.95,,,
8788290371486,11.95,,,
8788290372057,11.95,,,
8788290372109,11.95,,,
8788290372112,11.95,,,
8788290372336,11.95,,,
8788290372372,11.95,,,
8788290372376,11.95,,,
8788290372651,11.95,,,
8788290372768,11.95,,,
8788290372878,11.95,,,
8788290372916,11.95,,,
8788290372939,11.95,,,
8788290372940,11.95,,,
8788290209924,11.95,,,
8788290210069,11.95,,,
8788290211759,11.95,,,
8788290212141,11.95,,,
8788290212325,11.95,,,
8788290263081,11.95,,,
8788290263373,11.95,,,
8788290263968,11.95,,,
8788290263970,11.95,,,
8788290264077,11.95,,,
8788290265471,11.95,,,
8788290323846,11.95,,,
8788290324027,11.95,,,
8788290324105,11.95,,,
8788290324130,11.95,,,
8788290324283,11.95,,,
8788290324765,11.95,,,
8788290324915,11.95,,,
8788290325023,11.95,,,
8788290325225,11.95,,,
8788290325229,11.95,,,
8788290325278,11.95,,,
8788290325641,11.95,,,
8788290325707,11.95,,,
8788290325727,11.95,,,
8788290325741,11.95,,,
8788290347477,11.95,,,
8788290347543,11.95,,,
8788290347734,11.95,,,
8788290347740,11.95,,,
8788290347742,11.95,,,
8788290348004,11.95,,,
8788290348387,11.95,,,
8788290348469,11.95,,,
8788290348728,11.95,,,
8788290348770,11.95,,,
8788290348879,11.95,,,
8788290349103,11.95,,,
8788290349175,11.95,,,
8788290349220,11.95,,,
8788290373025,11.95,,,
8788290373097,11.95,,,
8788290373160,11.95,,,
8788290373466,11.95,,,
8788290373614,11.95,,,
8788290373706,11.95,,,
8788290373764,11.95,,,
8788290373897,11.95,,,
8788290373958,11.95,,,
8788290374237,11.95,,,
8788290374250,11.95,,,
8788290374436,11.95,,,
8788290374617,11.95,,,
8788290374773,11.95,,,
8788290211605,11.95,,,
8788290263977,11.95,,,
8788290323807,11.95,,,
8788290325075,11.95,,,
8788290325661,11.95,,,
8788290348059,11.95,,,
8788290348471,11.95,,,
8788290349003,11.95,,,
8788290372991,11.95,,,
8788290373255,11.95,,,
8788290373718,11.95,,,
8788290373792,11.95,,,
8788290374005,11.95,,,
8788290374026,11.95,,,
8788290374060,11.95,,,
8788290374170,11.95,,,
8788290374327,11.95,,,
8788290374329,11.95,,,
8788290374370,11.95,,,
8788290374618,11.95,,,
8788290374621,11.95,,,
8788290374728,11.95,,,
8788290374758,11.95,,,
8788290214914,11.95,,,
8788290214976,11.95,,,
8788290215102,11.95,,,
8788290215106,11.95,,,
8788290215256,11.95,,,
8788290215475,11.95,,,
8788290216450,11.95,,,
8788290216831,11.95,,,
8788290217215,11.95,,,
8788290265959,11.95,,,
8788290266082,11.95,,,
8788290266621,11.95,,,
8788290267154,11.95,,,
8788290267213,11.95,,,
8788290267691,11.95,,,
8788290267776,11.95,,,
8788290267908,11.95,,,
8788290268105,11.95,,,
8788290268178,11.95,,,
8788290268181,11.95,,,
8788290268447,11.95,,,
8788290325889,11.95,,,
8788290326244,11.95,,,
8788290326284,11.95,,,
8788290326363,11.95,,,
8788290326366,11.95,,,
8788290326460,11.95,,,
8788290326595,11.95,,,
8788290326957,11.95,,,
8788290327195,11.95,,,
8788290327490,11.95,,,
8788290327528,11.95,,,
8788290327548,11.95,,,
8788290327683,11.95,,,
8788290349318,11.95,,,
8788290349323,11.95,,,
8788290349402,11.95,,,
8788290349403,11.95,,,
8788290349406,11.95,,,
8788290349421,11.95,,,
8788290349483,11.95,,,
8788290352052,11.95,,,
8788290352097,11.95,,,
8788290352142,11.95,,,
8788290352144,11.95,,,
8788290352319,11.95,,,
8788290352475,11.95,,,
